# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3] c_flux[4]*c_flux[4] c_flux[5]*c_flux[5] c_flux[6]*c_flux[6]
0 100
1 0 1 1.10916e+06 728002 10149.1 9.72979e+06 768875 540461
2 3500 0 0.0 0.0 0.0 0.0 0.0 0.0
3 7000 0 0.0 0.0 0.0 0.0 0.0 0.0
4 10500 0 0.0 0.0 0.0 0.0 0.0 0.0
5 14000 0 0.0 0.0 0.0 0.0 0.0 0.0
6 17500 0 0.0 0.0 0.0 0.0 0.0 0.0
7 21000 0 0.0 0.0 0.0 0.0 0.0 0.0
8 24500 0 0.0 0.0 0.0 0.0 0.0 0.0
9 28000 0 0.0 0.0 0.0 0.0 0.0 0.0
10 31500 0 0.0 0.0 0.0 0.0 0.0 0.0
11 35000 0 0.0 0.0 0.0 0.0 0.0 0.0
12 38500 0 0.0 0.0 0.0 0.0 0.0 0.0
13 42000 0 0.0 0.0 0.0 0.0 0.0 0.0
14 45500 0 0.0 0.0 0.0 0.0 0.0 0.0
15 49000 0 0.0 0.0 0.0 0.0 0.0 0.0
16 52500 0 0.0 0.0 0.0 0.0 0.0 0.0
17 56000 0 0.0 0.0 0.0 0.0 0.0 0.0
18 59500 0 0.0 0.0 0.0 0.0 0.0 0.0
19 63000 0 0.0 0.0 0.0 0.0 0.0 0.0
20 66500 0 0.0 0.0 0.0 0.0 0.0 0.0
21 70000 0 0.0 0.0 0.0 0.0 0.0 0.0
22 73500 0 0.0 0.0 0.0 0.0 0.0 0.0
23 77000 0 0.0 0.0 0.0 0.0 0.0 0.0
24 80500 0 0.0 0.0 0.0 0.0 0.0 0.0
25 84000 0 0.0 0.0 0.0 0.0 0.0 0.0
26 87500 0 0.0 0.0 0.0 0.0 0.0 0.0
27 91000 0 0.0 0.0 0.0 0.0 0.0 0.0
28 94500 0 0.0 0.0 0.0 0.0 0.0 0.0
29 98000 0 0.0 0.0 0.0 0.0 0.0 0.0
30 101500 0 0.0 0.0 0.0 0.0 0.0 0.0
31 105000 0 0.0 0.0 0.0 0.0 0.0 0.0
32 108500 0 0.0 0.0 0.0 0.0 0.0 0.0
33 112000 0 0.0 0.0 0.0 0.0 0.0 0.0
34 115500 0 0.0 0.0 0.0 0.0 0.0 0.0
35 119000 0 0.0 0.0 0.0 0.0 0.0 0.0
36 122500 0 0.0 0.0 0.0 0.0 0.0 0.0
37 126000 0 0.0 0.0 0.0 0.0 0.0 0.0
38 129500 0 0.0 0.0 0.0 0.0 0.0 0.0
39 133000 0 0.0 0.0 0.0 0.0 0.0 0.0
40 136500 0 0.0 0.0 0.0 0.0 0.0 0.0
41 140000 0 0.0 0.0 0.0 0.0 0.0 0.0
42 143500 0 0.0 0.0 0.0 0.0 0.0 0.0
43 147000 0 0.0 0.0 0.0 0.0 0.0 0.0
44 150500 0 0.0 0.0 0.0 0.0 0.0 0.0
45 154000 0 0.0 0.0 0.0 0.0 0.0 0.0
46 157500 0 0.0 0.0 0.0 0.0 0.0 0.0
